restaurant_id,restaurant_name,locality,cuisine,dish_name,price,food_type,spice_level,rating,description,source,last_updated
ngp_011,Moti Mahal Delux,Sadar,North Indian,Murgh Makhani (Butter Chicken),350,non-veg,2,4.6,Classic Delhi-style rich tomato and cashew gravy with tandoori pulled chicken and melted butter.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_012,Dakshin,Ramdaspeth,South Indian,Mysore Masala Thatte Idli Combo,140,veg,2,4.5,Fluffy plate-sized steamed idli brushed with spicy podi ghee and crunchy onion vada with piping hot sambar.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_013,Shree Ganesh Farsan,Mahal,Street Food,Kharra Samosa & Ragda Patties,50,veg,3,4.4,Crispy spiced potato samosa served crushed with warm white pea ragda and tangy tamarind chutney.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_014,Heera Sweets & Namkeen,Itwari,Sweets & Desserts,Orange Santra Barfi,120,veg,1,4.9,Nagpur's hallmark delicacy crafted from fresh local oranges and mawa with citrus zest.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_015,Hotel Gokul,Sitabuldi,Maharashtrian,Patodi Rassa with Jowar Bhakri,140,veg,4,4.5,Steamed spiced chickpea flour rolls simmered in fiery garlic-coconut Nagpuri red gravy.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_016,Vishnuji Ki Rasoi,Bajaj Nagar,Maharashtrian,Village Style Maharashtrian Buffet,340,veg,3,4.7,Rustic open-air dining with unlimited Pitla Bhakri Bharli Vangi Dal Tadka and Kheer.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_017,Barbeque Sadar,Sadar,Mughlai,Mutton Galouti Kebab with Paratha,310,non-veg,3,4.8,Melt-in-mouth smoked lamb patties infused with rose water spices served on saffron paratha.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_018,Checkpoint Cafe,Pratap Nagar,Fast Food,Peri Peri Cheesy Grilled Sandwich,180,veg,3,4.3,Multi-grain bread toasted crisp with bell peppers mozzarella cheese and fiery peri-peri seasoning.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_019,Tandoori Nights,VNIT Mate Square,North Indian,Paneer Lababdar with Garlic Naan,240,veg,2,4.4,Succulent cottage cheese cubes simmered in luscious tomato gravy spiced with dried fenugreek.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_020,Biryani By Kilo,Ramdaspeth,Mughlai,Hyderabadi Gosht Dum Biryani,390,non-veg,4,4.6,Authentic dum cooked goat mutton biryani in traditional clay handi with mirchi ka salan.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_021,Cafe Zindagi,Bajaj Nagar,Fast Food,Smoky BBQ Chicken Burger,210,non-veg,2,4.2,Juicy grilled chicken patty glazed in smoky barbecue sauce with pickled gherkins and cheddar.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_022,Goli Vada Pav No 1,Dharampeth,Street Food,Schezwan Cheese Vada Pav,75,veg,3,4.3,Mumbai style golden batata vada inside butter toasted pav loaded with spicy schezwan and cheese.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_023,Hotel Centre Point Cafe,Ramdaspeth,Continental,Creamy Alfredo Mushroom Pasta,360,veg,1,4.5,Fettuccine pasta tossed in rich parmesan cream reduction with sauteed wild mushrooms and herbs.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_024,Naivedhyam Eastoria,Wardha Road,North Indian,Dal Makhani with Stuffed Kulcha,280,veg,2,4.7,Slow simmered black lentils overnight with butter cream and Kashmiri red chillies.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_025,Ashoka Restaurant,Sadar,North Indian,Murgh Tikka Angara,330,non-veg,4,4.5,Charred boneless chicken marinated in hot chillies curd and mustard oil smoked over wood charcoal.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_026,Al Zam Zam,Mahal,Mughlai,Nagpuri Mutton Seekh Kebab,270,non-veg,4,4.7,Minced lamb skewers seasoned with mint raw papaya and green chillies grilled on open sigri.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_027,Khichdi Central,Pratap Nagar,Maharashtrian,Lehsuni Palak Matka Khichdi,170,veg,2,4.6,Comforting rice and moong dal preparation tempered with crispy browned garlic spinach and desi ghee.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_028,Chitale Express,Dharampeth,Maharashtrian,Poha Bakarwadi & Filter Coffee,95,veg,2,4.5,Traditional morning breakfast combo with mild vegetable poha crunchy bakarwadi and filter kaapi.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_029,Kolkata Rolls Corner,VNIT Mate Square,Street Food,Double Egg Double Chicken Roll,160,non-veg,3,4.4,Crispy flaky paratha coated with egg wrapped around spiced tandoori chicken slivers and onions.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_030,Dinshaw's Ice Cream Parlour,Sadar,Sweets & Desserts,Nutty Belgian Chocolate Sundae,180,veg,1,4.8,Double scoops of decadent dark chocolate ice cream drizzled with hot fudge roasted almonds and brownie.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_031,Phadke Uphar Griha,Sitabuldi,Maharashtrian,Sabudana Vada with Peanut Dip,85,veg,2,4.6,Crispy golden sago fritters served with sweet and spicy roasted peanut curd chutney.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_032,Saoji Adda,Medical Square,Saoji,Saoji Egg Curry with Roti,180,egg,4,4.5,Boiled eggs fried golden and plunged into thick Vidarbha Saoji gravy with raw onion rings.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_033,Dharampeth Dosa Point,Dharampeth,South Indian,Cheesy Schezwan Spring Dosa,150,veg,3,4.4,Fusion crispy crepe loaded with shredded veggies schezwan sauce and molten mozzarella cheese.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_034,Shree Shivkripa,Mahal,Maharashtrian,Maharashtrian Thalipeeth with Loni,120,veg,2,4.7,Multi-grain savory spiced flatbread cooked on griddle served with fresh white butter and curd.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_035,Bawarchi Biryani,Wardha Road,Mughlai,Egg Biryani with Mirchi Salan,210,egg,3,4.3,Spiced basmati rice cooked with golden fried eggs caramelized onions mint and saffron.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_036,Wok & Roll,Pratap Nagar,Fast Food,Chilli Garlic Hakka Noodles,170,veg,3,4.2,Wok-tossed noodles with crunchy bell peppers spring onions and spicy roasted garlic sauce.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_037,Khandesh Saoji,Gandhibagh,Saoji,Saoji Mutton Biryani Pot,360,non-veg,5,4.8,Fiercely spiced Vidarbha Saoji mutton layered with aromatic basmati rice and roasted spices.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_038,Sindhi Sweets & Snacks,Sitabuldi,Street Food,Dal Pakwan Sindhi Breakfast,90,veg,2,4.5,Crisp fried pakwan flatbread served with tempered chana dal green chilli paste and sweet chutney.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_039,Gayatri Bhojnalaya,Dharampeth,North Indian,Mini Veg Thali with Dal Tadka,130,veg,2,4.4,Budget-friendly everyday home-style meal with 2 vegetables dal tadka phulkas rice and salad.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_040,Reddy's Tiffins,VNIT Mate Square,South Indian,Guntur Karam Idli with Podi Ghee,110,veg,4,4.6,Bite sized mini idlis tossed in spicy Andhra Guntur chilli powder and piping hot desi ghee.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_041,Bombay Chaat Corner,Ramdaspeth,Street Food,Nagpuri Sev Puri & Dahi Puri,80,veg,2,4.5,Crispy puris topped with mashed potatoes spiced curd sweet tamarind chutney and mountain of sev.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_042,The Yellow Chilli,Wardha Road,North Indian,Shaam Savera Spinach Kofta,340,veg,2,4.6,Paneer stuffed spinach dumplings floating in velvety honey-sweetened tomato makhani sauce.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_043,Shree Ram Bhandar,Mahal,Sweets & Desserts,Kesar Jalebi with Rabdi,110,veg,1,4.8,Crisp spiral jalebis soaked in saffron syrup served hot topped with chilled creamy malai rabdi.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_044,Chai Sutta Bar,Pratap Nagar,Fast Food,Kulhad Chai with Bun Maska,65,veg,1,4.4,Aromatic elaichi tea served in clay kulhad with soft toasted bun smothered in Amul butter.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_045,Sadar Food Street,Sadar,Street Food,Chicken Shawarma Roll,140,non-veg,2,4.6,Thin pita bread stuffed with garlic-mayo marinated shredded rotisserie chicken and pickles.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_046,Haldiram's Sweets,Sitabuldi,Sweets & Desserts,Anjeer Katli & Kaju Roll,160,veg,1,4.8,Delicate silver-foiled fig and cashew confectionary crafted by Nagpur's most renowned sweets house.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_047,Radhe Radhe Jalebi,Dharampeth,Sweets & Desserts,Desi Ghee Imarti with Malai,90,veg,1,4.7,Crisp melt-in-mouth urad dal imartis deep fried in pure desi ghee and dipped in fragrant cardamom sugar syrup.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_048,Badkul Sweets,Mahal,Sweets & Desserts,Gulab Jamun with Rabri,80,veg,1,4.9,Historic warm soft khoya gulab jamuns drenched in rose syrup and layered with thick chilled rabri.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_049,Puranmal Sweets,Ramdaspeth,Sweets & Desserts,Kesar Rasmalai with Pistachio,95,veg,1,4.8,Delicate cottage cheese patties soaked in saffron clotted milk garnished with slivered pistachios.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_050,Mohan Lal Sweets,Sadar,Sweets & Desserts,Motichoor Ladoo in Desi Ghee,70,veg,1,4.8,Traditional melt-in-mouth tiny gram flour pearls cooked in pure desi ghee with saffron and cardamom.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_051,Naturals Ice Cream,Bajaj Nagar,Sweets & Desserts,Fresh Nagpur Orange Ice Cream,85,veg,1,4.8,Seasonal artisanal ice cream made with real Nagpur oranges milk and sugar without artificial colors.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_052,Frosty Ice Cream & Kulfi,Pratap Nagar,Sweets & Desserts,Malai Matka Kulfi Falooda,75,veg,1,4.6,Traditional slow-simmered rabri kulfi served in earthen matka with sweet falooda vermicelli and rose syrup.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_053,Sweet Bengal,VNIT Mate Square,Sweets & Desserts,Kolkata Spongy Rasgulla,60,veg,1,4.7,Light-as-air spongy cottage cheese balls soaked in warm scented sugar cardamom syrup.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_054,Ajit Bakery,Sitabuldi,Sweets & Desserts,Alphonso Mango Mousse Slice,95,veg,1,4.7,Velvety smooth mango mousse cake layered with light sponge and fresh fruit glaze.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
